iter	Logloss
0	0.6886991516
1	0.6853164043
2	0.6826114345
3	0.6790515737
4	0.6753659861
5	0.6727996829
6	0.6694868694
7	0.6665649614
8	0.6641443553
9	0.6607843515
10	0.6585977226
11	0.6563986886
12	0.6536623537
13	0.651295965
14	0.64838691
15	0.6468227461
16	0.6433980253
17	0.6414162881
18	0.638445732
19	0.6357495838
20	0.6332788847
21	0.6306025059
22	0.6282749007
23	0.6260453081
24	0.6240653781
25	0.6211070665
26	0.6188090238
27	0.6168240379
28	0.6153083387
29	0.613595227
30	0.6115239173
31	0.6089248556
32	0.6065637177
33	0.6043036735
34	0.6022383903
35	0.6008413044
36	0.5986801866
37	0.59653276
38	0.5941713232
39	0.5922695377
40	0.5902404516
41	0.5878050998
42	0.5858286401
43	0.5840146243
44	0.5817803364
45	0.579544456
46	0.5783665447
47	0.5774411096
48	0.5754298374
49	0.5737580185
50	0.5724434258
51	0.571170563
52	0.570320703
53	0.5687223365
54	0.5669174418
55	0.5651617267
56	0.5641986297
57	0.5630020615
58	0.5619513613
59	0.5603301487
60	0.5590356529
61	0.5573131184
62	0.5560305979
63	0.5547980127
64	0.5529193499
65	0.551207044
66	0.549425799
67	0.5485441228
68	0.5469150935
69	0.5448652865
70	0.543647271
71	0.5419226123
72	0.5415310677
73	0.5401136288
74	0.5398309543
75	0.5387350871
76	0.5379946729
77	0.5370895082
78	0.5365674943
79	0.535348691
80	0.5345804734
81	0.5343341254
82	0.5336317748
83	0.5326907234
84	0.5319386465
85	0.531714026
86	0.5309651142
87	0.5298640042
88	0.528970687
89	0.5274111999
90	0.5272098621
91	0.5256251591
92	0.5249902228
93	0.5237012469
94	0.5225698604
95	0.5219809983
96	0.5208188836
97	0.5201610278
98	0.5191289283
99	0.5178600073
100	0.5165468353
101	0.5161928019
102	0.5146344525
103	0.5138183814
104	0.5130973241
105	0.5125218961
106	0.511193014
107	0.5104153906
108	0.509006801
109	0.5079761866
110	0.5070620216
111	0.505947853
112	0.5055130759
113	0.5045197951
114	0.50360783
115	0.5026673805
116	0.5023242927
117	0.5016410143
118	0.500940731
